"JournalTitle","MedAbbr","ISSN (Print)","ISSN (Online)","NlmId"
"Acta embryologiae et morphologiae experimentalis (""Halocynthia"" Association"")","Acta Embryol Morphol Exp (Halocynthia Assoc)","0391-9706","","8108943"
"Acta dermatologica-Kyoto. English edition","Acta Dermatol Kyoto Engl Ed","0376-0189","","0266344"
"Acta dermato-venereologica","Acta Derm Venereol","0001-5555","1651-2057","0370310"
"Acta dermato-venereologica. Supplementum","Acta Derm Venereol Suppl (Stockh)","0365-8341","","0370311"
"Hifuka kiyo. Acta dermatologica","Hifuka Kiyo","0065-1176","","1305010"
"Acta diabetologica latina","Acta Diabetol Lat","0001-5563","","0123567"
"Acta embryologiae experimentalis","Acta Embryol Exp (Palermo)","0065-1184","","0236000"
"Acta embryologiae et morphologiae experimentalis","Acta Embryol Morphol Exp","0567-7416","","0235532"
"Acta endocrinologica","Acta Endocrinol (Copenh)","0001-5598","","0370312"
"Acta endocrinologica. Supplementum","Acta Endocrinol Suppl (Copenh)","0300-9750","","0370313"
"Acta Europaea fertilitatis","Acta Eur Fertil","0587-2421","","1300660"
"Acta gastro-enterologica Belgica","Acta Gastroenterol Belg","1784-3227","","0414075"
"Acta gastroenterologica Latinoamericana","Acta Gastroenterol Latinoam","0300-9033","2469-1119","0261505"
"Acta genetica et statistica medica","Acta Genet Stat Med","0567-7440","","0200600"
"Acta geneticae medicae et gemellologiae","Acta Genet Med Gemellol (Roma)","0001-5660","","0370314"
"Acta gerontologica","Acta Gerontol (Milano)","0001-5741","","7501996"
"Acta ginecologica","Acta Ginecol (Madr)","0001-5776","","0370317"
"Acta gynaecologica et obstetrica Hispano-Lusitana","Acta Gynaecol Obstet Hisp Lusit","0001-5784","","0147664"
"Acta haematologica","Acta Haematol","0001-5792","1421-9662","0141053"
"Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society","Nihon Ketsueki Gakkai Zasshi","0001-5806","","2984803R"
"Acta haematologica Polonica","Acta Haematol Pol","0001-5814","","0262610"
"Acta hepato-gastroenterologica","Acta Hepatogastroenterol (Stuttg)","0300-970X","","0340734"
"Acta historica scientiarum naturalium et medicinalium","Acta Hist Sci Nat Med","0065-1311","","0416660"
"Acta histochemica","Acta Histochem","0065-1281","1618-0372","0370320"
"Acta iberica radiologica-cancerologica","Acta Iber Radiol Cancerol","0001-589X","","0370321"
"Acta isotopica","Acta Isot (Padova)","0001-5911","","0421025"
"Acta Leidensia","Acta Leiden","0065-1362","","0413650"
"Igaku kenkyu. Acta medica","Igaku Kenkyu","0076-597X","","0421144"
"Acta medica Academiae Scientiarum Hungaricae","Acta Med Acad Sci Hung","0001-5989","","0370323"
"Acta medica Austriaca","Acta Med Austriaca","0303-8173","1563-2571","7501997"
"Acta medica Austriaca. Supplement","Acta Med Austriaca Suppl","0303-8181","","7502262"
"Acute care","Acute Care","0254-0819","","8412026"
"Acta medica et biologica","Acta Med Biol (Niigata)","0567-7734","","0243663"
"Perspectives (Gerontological Nursing Association (Canada))","Perspectives","0831-7445","","8500942"
"Acta medica Italica di medicina tropicale e subtropicale e di gastroenterologia","Acta Med Ital Med Trop Subtrop Gastroenterol","0001-6039","","14540080R"
"Acta medica Iugoslavica","Acta Med Iugosl","0375-8338","","0370324"
"Acta medicinae legalis et socialis","Acta Med Leg Soc (Liege)","0065-1397","","7611894"
"Acta medica Nagasakiensia","Acta Med Nagasaki","0001-6055","","0372633"
"Family practice research journal","Fam Pract Res J","0270-2304","","8208228"
"Fetal therapy","Fetal Ther","0257-2788","","8700083"
"Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology","Gynecol Endocrinol","0951-3590","1473-0766","8807913"
"International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience","Int J Dev Neurosci","0736-5748","1873-474X","8401784"
"The Journal of the American Board of Family Practice","J Am Board Fam Pract","0893-8652","1544-8770","8807505"
"Journal of biological regulators and homeostatic agents","J Biol Regul Homeost Agents","0393-974X","1724-6083","8809253"
"Journal of bioluminescence and chemiluminescence","J Biolumin Chemilumin","0884-3996","","8612490"
"Acta medica Okayama","Acta Med Okayama","0386-300X","","0417611"
"Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research","J Bone Miner Res","0884-0431","1523-4681","8610640"
"Acta medica Philippina","Acta Med Philipp","0001-6071","2094-9278","0312677"
"Acta medica Polona","Acta Med Pol","0001-608X","","0370326"
"Acta medica portuguesa","Acta Med Port","0870-399X","1646-0758","7906803"
"Acta medica Scandinavica","Acta Med Scand","0001-6101","","0370330"
"Acta medica Scandinavica. Supplementum","Acta Med Scand Suppl","0365-463X","","0370331"
"Acta medica veterinaria","Acta Med Vet (Napoli)","0001-6136","","0000212"
"Acta microbiologica Academiae Scientiarum Hungaricae","Acta Microbiol Acad Sci Hung","0001-6187","","0370333"
"Acta microbiologica Bulgarica","Acta Microbiol Bulg","0204-8809","2603-3755","7901426"
"Acta microbiologica Polonica","Acta Microbiol Pol","0137-1320","","7610362"
"Acta microbiologica Polonica. Series A: Microbiologia generalis","Acta Microbiol Pol A","0567-7815","","7610360"
"Acta microbiologica Polonica. Series B: Microbiologia applicata","Acta Microbiol Pol B","0567-7823","","7610361"
"Acta morphologica Academiae Scientiarum Hungaricae","Acta Morphol Acad Sci Hung","0001-6217","","0370334"
"Acta microbiologica, virologica et immunologica","Acta Microbiol Virol Immunol (Sofiia)","0324-0452","","7600027"
"Acta morphologica Hungarica","Acta Morphol Hung","0236-5391","","8307964"
"Acta morphologica Neerlando-Scandinavica","Acta Morphol Neerl Scand","0001-6225","","0370335"
"Acta neurobiologiae experimentalis","Acta Neurobiol Exp (Wars)","0065-1400","1689-0035","1246675"
"Acta neurochirurgica","Acta Neurochir (Wien)","0001-6268","0942-0940","0151000"
"Acta neurochirurgica. Supplementum","Acta Neurochir Suppl (Wien)","","","0140560"
"Acta neurologica","Acta Neurol (Napoli)","0001-6276","","0421100"
"Acta rhumatologica","Acta Rhumatol","0250-4642","","7908064"
"Acta leprologica","Acta Leprol","0001-5938","","0037353"
"Acta microbiologica Hungarica","Acta Microbiol Hung","0231-4622","","8400270"
"Acta neurologica Belgica","Acta Neurol Belg","0300-9009","2240-2993","0247035"
"Acta neurologica latinoamericana","Acta Neurol Latinoam","0001-6306","","9421556"
"Acta neurologica. Quaderni","Acta Neurol Quad (Napoli)","0515-2976","","7506814"
"Acta neurologica Scandinavica","Acta Neurol Scand","0001-6314","1600-0404","0370336"
"Acta neurologica Scandinavica. Supplementum","Acta Neurol Scand Suppl","0065-1427","1600-5449","0370337"
"Acta neuropathologica","Acta Neuropathol","0001-6322","1432-0533","0412041"
"Acta neuropathologica. Supplementum","Acta Neuropathol Suppl","0065-1435","","0370342"
"Acta neurovegetativa","Acta Neuroveg (Wien)","0375-9245","","0162324"
"Acta obstetrica y ginecologica hispano-lusitana","Acta Obstet Ginecol Hisp Lusit","0210-9832","","0147634"
"Acta obstetrica y ginecologica hispano-lusitana. Suplemento","Acta Obstet Ginecol Hisp Lusit Suppl","0300-8940","","0221541"
"Acta obstetrica et gynaecologica Japonica","Acta Obstet Gynaecol Jpn","0001-6330","","0202673"
"Acta obstetricia et gynecologica Scandinavica","Acta Obstet Gynecol Scand","0001-6349","1600-0412","0370343"
"Acta obstetricia et gynecologica Scandinavica. Supplement","Acta Obstet Gynecol Scand Suppl","0300-8835","","0337655"
"Acta odontologica Scandinavica","Acta Odontol Scand","0001-6357","1502-3850","0370344"
"Acta odontologica Scandinavica. Supplementum","Acta Odontol Scand Suppl","0365-530X","","0370345"
"Acta odontologica venezolana","Acta Odontol Venez","0001-6365","","14540210R"
"Acta oncologica","Acta Oncol (Madr)","0001-6381","","0370346"
"Acta ophthalmologica","Acta Ophthalmol (Copenh)","0001-639X","","0370347"
"Acta ophthalmologica. Supplementum","Acta Ophthalmol Suppl","0065-1451","","0370350"
"Acta orthopaedica Belgica","Acta Orthop Belg","0001-6462","","2985165R"
"Acta orthopaedica Scandinavica","Acta Orthop Scand","0001-6470","","0370352"
"Acta orthopaedica Scandinavica. Supplementum","Acta Orthop Scand Suppl","0300-8827","","0370353"
"Acta oto-laryngologica","Acta Otolaryngol","0001-6489","1651-2251","0370354"
"Acta oto-laryngologica. Supplementum","Acta Otolaryngol Suppl","0365-5237","","0370355"
"Acta oto-rhino-laryngologica Belgica","Acta Otorhinolaryngol Belg","0001-6497","","0373057"
"Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale","Acta Otorhinolaryngol Ital","0392-100X","1827-675X","8213019"
"Acta oto-rino-laringologica ibero-americana","Acta Otorinolaryngol Iber Am","0001-6500","","7610363"
"Acta paediatrica Academiae Scientiarum Hungaricae","Acta Paediatr Acad Sci Hung","0001-6527","","0372634"
"Acta paediatrica Belgica","Acta Paediatr Belg","0001-6535","","0372635"
"Nihon Shonika Gakkai zasshi. Acta paediatrica Japonica","Nihon Shonika Gakkai Zasshi","0001-6543","","0413547"
"Acta paediatrica Japonica : Overseas edition","Acta Paediatr Jpn","0374-5600","","0370357"
"Acta paediatrica Scandinavica","Acta Paediatr Scand","0001-656X","","0000211"
"Acta paediatrica Scandinavica. Supplement","Acta Paediatr Scand Suppl","0300-8843","","0173166"
"Zhonghua Minguo xiao er ke yi xue hui za zhi [Journal]. Zhonghua Minguo xiao er ke yi xue hui","Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi","0001-6578","","16210470R"
"Acta paedopsychiatrica","Acta Paedopsychiatr","0001-6586","","0400661"
"Series paedopsychiatrica","Ser Paedopsychiatr","0080-9012","","0036662"
"Acta pathologica japonica","Acta Pathol Jpn","0001-6632","","0372637"
"Acta pathologica et microbiologica Scandinavica","Acta Pathol Microbiol Scand","0365-5555","","7508471"
"Acta pathologica et microbiologica Scandinavica. Section A, Pathology","Acta Pathol Microbiol Scand A","0365-4184","","7508468"
"Acta pathologica et microbiologica Scandinavica. Section B, Microbiology","Acta Pathol Microbiol Scand B","0105-0656","","7508472"
"Acta pathologica et microbiologica Scandinavica. Section C, Immunology","Acta Pathol Microbiol Scand C","0304-1328","","7508469"
"Acta pathologica et microbiologica Scandinavica. Supplement","Acta Pathol Microbiol Scand Suppl","","","8211440"
"Acta pathologica, microbiologica, et immunologica Scandinavica. Supplement","Acta Pathol Microbiol Immunol Scand Suppl","0108-0172","","8211441"
"Acta pediatrica espanola","Acta Pediatr Esp","0001-6640","2014-2986","0405466"
"Acta pathologica, microbiologica, et immunologica Scandinavica. Section A, Pathology","Acta Pathol Microbiol Immunol Scand A","0108-0164","","8206622"
"Acta pathologica, microbiologica, et immunologica Scandinavica. Section B, Microbiology","Acta Pathol Microbiol Immunol Scand B","0108-0180","","8206623"
"Acta pathologica, microbiologica, et immunologica Scandinavica. Section C, Immunology","Acta Pathol Microbiol Immunol Scand C","0108-0202","","8206624"
"Acta pharmaceutica Hungarica","Acta Pharm Hung","0001-6659","","0414322"
"Zhongguo yao li xue bao = Acta pharmacologica Sinica","Zhongguo Yao Li Xue Bao","0253-9756","","8100330"
"Yao xue xue bao = Acta pharmaceutica Sinica","Yao Xue Xue Bao","0513-4870","","21710340R"
"Acta pharmaceutica Suecica","Acta Pharm Suec","0001-6675","","0000216"
"Acta pharmacologica et toxicologica","Acta Pharmacol Toxicol (Copenh)","0001-6683","","0370572"
"Acta physiologica Academiae Scientiarum Hungaricae","Acta Physiol Acad Sci Hung","0001-6756","","0371156"
"Acta physiologica Hungarica","Acta Physiol Hung","0231-424X","1588-2683","8309201"
"Acta physiologica latino americana","Acta Physiol Lat Am","0001-6764","","0060610"
"Acta physiologica et pharmacologica Bulgarica","Acta Physiol Pharmacol Bulg","0323-9950","","7512568"
"Acta physiologica et pharmacologica latinoamericana : organo de la Asociacion Latinoamericana de Ciencias Fisiologicas y de la Asociacion Latinoamericana de Farmacologia","Acta Physiol Pharmacol Latinoam","0326-6656","","8409686"
"Acta physiologica et pharmacologica Neerlandica","Acta Physiol Pharmacol Neerl","0001-6748","","14610130R"
"Acta physiologica Polonica","Acta Physiol Pol","0044-6033","","2985166R"
"Acta physiologica Scandinavica","Acta Physiol Scand","0001-6772","1365-201X","0370362"
"Acta physiologica Scandinavica. Supplementum","Acta Physiol Scand Suppl","0302-2994","","0376307"
"Acta poloniae pharmaceutica","Acta Pol Pharm","0001-6837","","2985167R"
"Acta psiquiatrica y psicologica de America latina","Acta Psiquiatr Psicol Am Lat","0001-6896","","0373060"
"Acta psychiatrica Belgica","Acta Psychiatr Belg","0300-8967","","0247037"
"Acta psychiatrica Scandinavica","Acta Psychiatr Scand","0001-690X","1600-0447","0370364"
"Acta psychiatrica Scandinavica. Supplementum","Acta Psychiatr Scand Suppl","0065-1591","1600-5473","0370365"
"Acta psychologica","Acta Psychol (Amst)","0001-6918","1873-6297","0370366"
"Acta rhumatologica Belgica","Acta Rhumatol Belg","0378-9497","","7903226"
"Acta radiologica: diagnosis","Acta Radiol Diagn (Stockh)","0567-8056","","0370367"
"Acta radiologica. Supplementum","Acta Radiol Suppl","0365-5954","","0370370"
"Acta radiologica: therapy, physics, biology","Acta Radiol Ther Phys Biol","0567-8064","","0000201"
"Acta radiologica: oncology, radiation, physics, biology","Acta Radiol Oncol Radiat Phys Biol","0348-5196","","7805897"
"Acta radiologica. Oncology","Acta Radiol Oncol","0349-652X","","8209606"
"Acta medica Iranica","Acta Med Iran","0044-6025","1735-9694","14540050R"
"Acta rheumatologica Scandinavica","Acta Rheumatol Scand","0001-6934","","0321403"
"Acta Scholae Medicinalis Universitatis in Kioto","Acta Sch Med Univ Kioto","0001-6950","","7611898"
"Acta Societatis Medicorum Upsaliensis","Acta Soc Med Ups","0001-6985","","0332127"
"Acta stomatologica internationalia : revue scientifique et bulletin officiel de l'Association stomatologique internationale","Acta Stomatol Int","0255-4410","","8807267"
"Nippon Ganka Gakkai zasshi","Nippon Ganka Gakkai Zasshi","0029-0203","","7505716"
"Acta socio-medica Scandinavica","Acta Sociomed Scand","0044-6041","","2985168R"
"Acta stomatologica Belgica","Acta Stomatol Belg","0001-7000","","0421026"
"Acta stomatologica Croatica","Acta Stomatol Croat","0001-7019","1846-0410","0253456"
"Acta theriologica","Acta Theriol (Warsz)","0001-7051","2190-3743","0314001"
"Acta tropica","Acta Trop","0001-706X","1873-6254","0370374"
"Acta tropica. Supplementum","Acta Trop Suppl","0365-1541","","7611896"
"Acta tuberculosea et pneumologica Belgica","Acta Tuberc Pneumol Belg","0001-7078","","0370376"
"Acta tuberculosea Japonica","Acta Tuberc Jpn","0567-8161","","0157725"
"Acta tuberculosea et pneumologica Scandinavica","Acta Tuberc Pneumol Scand","0365-7531","","0064362"
"Acta Universitatis Carolinae. Medica","Acta Univ Carol Med (Praha)","0001-7116","","2985169R"
"Acta Universitatis Carolinae. Medica. Monographia","Acta Univ Carol Med Monogr","0567-8250","","0177667"
"Acta urologica Belgica","Acta Urol Belg","0001-7183","","0377045"
"Hinyokika kiyo. Acta urologica Japonica","Hinyokika Kiyo","0018-1994","","0421145"
"Acta veterinaria Academiae Scientiarum Hungaricae","Acta Vet Acad Sci Hung","0001-7205","","0370377"
"Acta veterinaria Hungarica","Acta Vet Hung","0236-6290","","8406376"
"Acta veterinaria Scandinavica","Acta Vet Scand","0044-605X","1751-0147","0370400"
"Acta veterinaria Scandinavica. Supplementum","Acta Vet Scand Suppl","0065-1699","","0061331"
"Acta virologica","Acta Virol","0001-723X","1336-2305","0370401"
"Acta vitaminologica et enzymologica","Acta Vitaminol Enzymol","0300-8924","","0135063"
"Acta zoologica et pathologica Antverpiensia","Acta Zool Pathol Antverp","0001-7280","","0100314"
"The African journal of psychiatry","Afr J Psychiatry","0331-0175","","7802295"
"Actas dermo-sifiliograficas","Actas Dermosifiliogr","0001-7310","1578-2190","0373062"
"Actas urologicas espanolas","Actas Urol Esp","0210-4806","1699-7980","7704993"
"Acta Universitatis Palackianae Olomucensis Facultatis Medicae","Acta Univ Palacki Olomuc Fac Med","0301-2514","","0363112"
"Actas luso-espanolas de neurologia, psiquiatria y ciencias afines","Actas Luso Esp Neurol Psiquiatr Cienc Afines","0300-5062","","0355573"
"Actas luso-espanolas de neurologia y psiquiatria","Actas Luso Esp Neurol Psiquiatr","0001-7329","","0355646"
"Actualites cardiologiques et angeiologiques internationales","Actual Cardiol Angeiol Int (Paris)","0365-1045","","0143027"
"Actualites endocrinologiques","Actual Endocrinol (Paris)","0065-1826","","0370405"
"Actualites hepato-gastro-enterologiques","Actual Hepatogastroenterol (Paris)","0240-8007","","0264367"
"Actualites neurophysiologiques","Actual Neurophysiol (Paris)","0567-882X","","7513548"
"Actualites odonto-stomatologiques","Actual Odontostomatol (Paris)","0001-7817","1760-611X","0370406"
"Actualidad pediatrica; revista de bibliografia internacional","Actual Pediatr (Granada)","0001-7671","","2985171R"
"Actualites pharmacologiques","Actual Pharmacol (Paris)","0567-8854","","0370407"
"Acupuncture & electro-therapeutics research","Acupunct Electrother Res","0360-1293","","7610364"
"Actualites de physiologie pathologique","Actual Physiol Pathol (Paris)","0567-8714","","7611901"
"Addictive behaviors","Addict Behav","0306-4603","1873-6327","7603486"
"Advance data","Adv Data","0147-3956","1933-3889","7703830"
"ADM; revista de la Asociacion Dental Mexicana","ADM","","","0370411"
"Administration in social work","Adm Soc Work","0364-3107","1544-4376","7800009"
"Addictive diseases","Addict Dis","0094-0267","","0425064"
"Administrative science quarterly","Adm Sci Q","0001-8392","","0240207"
"Adolescence","Adolescence","0001-8449","","0123667"
"Adult education","Adult Educ","0001-8481","","9877760"
"Advances in anatomy, embryology, and cell biology","Adv Anat Embryol Cell Biol","0301-5556","","0407712"
"Advances in applied microbiology","Adv Appl Microbiol","0065-2164","","0370413"
"Administration in mental health","Adm Ment Health","0090-1180","","0361564"
"Advances in biochemical psychopharmacology","Adv Biochem Psychopharmacol","0065-2229","","0211233"
"Advances in biological and medical physics","Adv Biol Med Phys","0065-2245","","0370414"
"Lifelong learning, the adult years","Lifelong Learn Adult Years","0148-2165","","9877808"
"Advances in biochemical engineering/biotechnology","Adv Biochem Eng Biotechnol","0724-6145","1616-8542","8307733"
"Advances in biology of skin","Adv Biol Skin","0065-2253","","0426664"
"Advances in biomedical engineering and medical physics","Adv Biomed Eng Med Phys","0065-2261","","7611904"
"Advances in biophysics","Adv Biophys","0065-227X","1873-4618","0262476"
"Advances in cancer research","Adv Cancer Res","0065-230X","2162-5557","0370416"
"Advances in carbohydrate chemistry and biochemistry","Adv Carbohydr Chem Biochem","0065-2318","2162-5530","0240537"
"Advances in cardiology","Adv Cardiol","0065-2326","1662-2839","0270063"
"Advances in cardiopulmonary diseases","Adv Cardiopulm Dis","0065-2334","","14630130R"
"Advances in cell biology","Adv Cell Biol","0065-2369","","0235424"
"Advances in chemotherapy","Adv Chemother","0567-9877","","0236562"
"Advances in child development and behavior","Adv Child Dev Behav","0065-2407","","0370417"
"Advances in contraception : the official journal of the Society for the Advancement of Contraception","Adv Contracept","0267-4874","","8607435"
"Advances in chromatography","Adv Chromatogr","0065-2415","","0121020"
"Advances in clinical chemistry","Adv Clin Chem","0065-2423","2162-9471","2985173R"
"Advances in clinical pharmacology","Adv Clin Pharmacol","0303-2671","","0430232"
"Advances in comparative physiology and biochemistry","Adv Comp Physiol Biochem","0065-244X","","0370422"
"Advances in cyclic nucleotide and protein phosphorylation research","Adv Cyclic Nucleotide Protein Phosphorylation Res","0747-7767","","8404639"
"Advances in cyclic nucleotide research","Adv Cyclic Nucleotide Res","0084-5930","","0341362"
"Advances in cytopharmacology","Adv Cytopharmacol","0084-5949","","1301733"
"Advances in drug research","Adv Drug Res","0065-2490","","0040021"
"Advances in enzyme regulation","Adv Enzyme Regul","0065-2571","1873-2437","0044263"
"Advances in enzymology and related areas of molecular biology","Adv Enzymol Relat Areas Mol Biol","0065-258X","1934-4694","0337243"
"Advances in experimental medicine and biology","Adv Exp Med Biol","0065-2598","2214-8019","0121103"
"Advances in fluorine research and dental caries prevention","Adv Fluorine Res","0567-994X","","14630160R"
"Advances in health economics and health services research","Adv Health Econ Health Serv Res","0731-2199","","8206631"
"Aktuelle Traumatologie","Aktuelle Traumatol","0044-6173","","0421405"
"Advances in food research","Adv Food Res","0065-2628","","0370423"
"Advances in immunity and cancer therapy","Adv Immun Cancer Ther","0178-2134","","8601071"
"Advances in genetics","Adv Genet","0065-2660","","0370421"
"Advances in gerontological research","Adv Gerontol Res","0065-2709","","0436264"
"Advances in nutritional research","Adv Nutr Res","0149-9483","","7802764"
"Advances in heterocyclic chemistry","Adv Heterocycl Chem","0065-2725","1557-8429","0370424"
"Advances in human genetics","Adv Hum Genet","0065-275X","","1256347"
"Advances in immunology","Adv Immunol","0065-2776","1557-8445","0370425"
"Advances in inorganic biochemistry","Adv Inorg Biochem","0190-0218","","7909203"
"Advances in internal medicine","Adv Intern Med","0065-2822","","0370427"
"Advances in lipid research","Adv Lipid Res","0065-2849","","0000262"
"Advances in metabolic disorders","Adv Metab Disord","0065-2903","","0370430"
"Advances in microbial physiology","Adv Microb Physiol","0065-2911","2162-5468","0117147"
"Advances in nephrology from the Necker Hospital","Adv Nephrol Necker Hosp","0084-5957","","0311622"
"Advances in morphogenesis","Adv Morphog","0065-2962","","7611906"
"Advances in neurology","Adv Neurol","0091-3952","","0367524"
"Shinkei kenkyu no shimpo. Advances in neurological sciences","Shinkei Kenkyu No Shimpo","0001-8724","","0067457"
"Advances in alcohol & substance abuse","Adv Alcohol Subst Abuse","0270-3106","","8107172"
"Advances in ophthalmology = Fortschritte der Augenheilkunde = Progres en ophtalmologie","Adv Ophthalmol","0065-3004","","0263212"
"Advances in oral biology","Adv Oral Biol","0065-3020","","0000261"
"Advances in oto-rhino-laryngology","Adv Otorhinolaryngol","0065-3071","1662-2847","0242534"
"Advances in prostaglandin and thromboxane research","Adv Prostaglandin Thromboxane Res","0361-5952","","7610366"
"Advances in parasitology","Adv Parasitol","0065-308X","2163-6079","0370435"
"Advances in pathobiology","Adv Pathobiol","0099-1147","","7511090"
"Advances in pediatrics","Adv Pediatr","0065-3101","1878-1926","0370436"
"Advances in pest control research","Adv Pest Control Res","0568-0107","","14640020R"
"Advances in pharmaceutical sciences","Adv Pharm Sci","0065-3136","","0040024"
"Advances in pharmacology and chemotherapy","Adv Pharmacol Chemother","0065-3144","","0237113"
"Adverse drug reactions and acute poisoning reviews","Adverse Drug React Acute Poisoning Rev","0260-647X","","8217118"
"Advances in protein chemistry","Adv Protein Chem","0065-3233","1557-8941","0116732"
"Advances in prostaglandin, thromboxane, and leukotriene research","Adv Prostaglandin Thromboxane Leukot Res","0732-8141","","8211444"
"Advances in psychobiology","Adv Psychobiol","0065-3241","","0337407"
"Advances in psychosomatic medicine","Adv Psychosom Med","0065-3268","1662-2855","0101303"
"Advancement of science","Adv Sci","0001-866X","","0370412"
"Advances in steroid biochemistry and pharmacology","Adv Steroid Biochem Pharmacol","0065-339X","","1251746"
"Advances in surgery","Adv Surg","0065-3411","1878-0555","0045335"
"Advances in reproductive physiology","Adv Reprod Physiol","0065-3322","","7513188"
"Advances in tracer methodology","Adv Tracer Methodol","0065-3497","","14640050R"
