AADE editors' journal	Aade Ed. J.	AADE Ed J
Acta rhumatologica Belgica	Acta Rhumatol. Belg.	Acta Rhumatol Belg
Acta radiologica: diagnosis	Acta Radiol. Diagn. Stockh.	Acta Radiol Diagn (Stockh)
Acta radiologica. Supplementum	Acta Radiol. Suppl.	Acta Radiol Suppl
Acta radiologica: therapy, physics, biology	Acta Radiol. Ther. Phys. Biol.	Acta Radiol Ther Phys Biol
Acta radiologica: oncology, radiation, physics, biology	Acta Radiol. Oncol. Radiat. Phys. Biol.	Acta Radiol Oncol Radiat Phys Biol
Acta radiologica. Oncology	Acta Radiol. Oncol.	Acta Radiol Oncol
Acta medica Iranica	Acta Med. Iran.	Acta Med Iran
Acta rheumatologica Scandinavica	Acta Rheumatol. Scand.	Acta Rheumatol Scand
Acta Scholae Medicinalis Universitatis in Kioto	Acta Sch. Med. Univ. Kioto	Acta Sch Med Univ Kioto
Acta Societatis Medicorum Upsaliensis	Acta Soc. Med. Ups.	Acta Soc Med Ups
Acta stomatologica internationalia : revue scientifique et bulletin officiel de l'Association stomatologique internationale	Acta Stomatol. Int.	Acta Stomatol Int
Nippon Ganka Gakkai zasshi	Nippon Ganka Gakkai Zasshi	Nippon Ganka Gakkai Zasshi
Acta socio-medica Scandinavica	Acta Sociomed. Scand.	Acta Sociomed Scand
Acta stomatologica Belgica	Acta Stomatol. Belg.	Acta Stomatol Belg
Acta stomatologica Croatica	Acta Stomatol. Croat.	Acta Stomatol Croat
Acta theriologica	Acta Theriol. Warsz.	Acta Theriol (Warsz)
Acta tropica	Acta Trop.	Acta Trop
Acta tropica. Supplementum	Acta Trop. Suppl.	Acta Trop Suppl
Acta tuberculosea et pneumologica Belgica	Acta Tuberc. Pneumol. Belg.	Acta Tuberc Pneumol Belg
Acta tuberculosea Japonica	Acta Tuberc. Jpn.	Acta Tuberc Jpn
Acta tuberculosea et pneumologica Scandinavica	Acta Tuberc. Pneumol. Scand.	Acta Tuberc Pneumol Scand
Acta Universitatis Carolinae. Medica	Acta Univ. Carol. Med. Praha.	Acta Univ Carol Med (Praha)
Acta Universitatis Carolinae. Medica. Monographia	Acta Univ. Carol. Med. Monogr.	Acta Univ Carol Med Monogr
Acta urologica Belgica	Acta Urol. Belg.	Acta Urol Belg
Hinyokika kiyo. Acta urologica Japonica	Hinyokika Kiyo	Hinyokika Kiyo
Acta veterinaria Academiae Scientiarum Hungaricae	Acta Vet. Acad. Sci. Hung.	Acta Vet Acad Sci Hung
Acta veterinaria Hungarica	Acta Vet. Hung.	Acta Vet Hung
Acta veterinaria Scandinavica	Acta Vet. Scand.	Acta Vet Scand
Acta veterinaria Scandinavica. Supplementum	Acta Vet. Scand. Suppl.	Acta Vet Scand Suppl
Acta virologica	Acta Virol.	Acta Virol
Acta vitaminologica et enzymologica	Acta Vitaminol. Enzymol.	Acta Vitaminol Enzymol
Acta zoologica et pathologica Antverpiensia	Acta Zool. Pathol. Antverp.	Acta Zool Pathol Antverp
The African journal of psychiatry	Afr. J. Psychiatry	Afr J Psychiatry
Actas dermo-sifiliograficas	Actas Dermosifiliogr.	Actas Dermosifiliogr
Actas urologicas espanolas	Actas Urol. Esp.	Actas Urol Esp
Acta Universitatis Palackianae Olomucensis Facultatis Medicae	Acta Univ. Palacki. Olomuc. Fac. Med.	Acta Univ Palacki Olomuc Fac Med
Actas luso-espanolas de neurologia, psiquiatria y ciencias afines	Actas Luso Esp. Neurol. Psiquiatr. Cienc. Afines	Actas Luso Esp Neurol Psiquiatr Cienc Afines
Actas luso-espanolas de neurologia y psiquiatria	Actas Luso Esp. Neurol. Psiquiatr.	Actas Luso Esp Neurol Psiquiatr
Actualites cardiologiques et angeiologiques internationales	Actual. Cardiol. Angeiol. Int. Paris.	Actual Cardiol Angeiol Int (Paris)
Actualites endocrinologiques	Actual. Endocrinol. Paris.	Actual Endocrinol (Paris)
Actualites hepato-gastro-enterologiques	Actual. Hepatogastroenterol. Paris.	Actual Hepatogastroenterol (Paris)
Actualites neurophysiologiques	Actual. Neurophysiol. Paris.	Actual Neurophysiol (Paris)
Actualites odonto-stomatologiques	Actual. Odontostomatol. Paris.	Actual Odontostomatol (Paris)
Actualidad pediatrica; revista de bibliografia internacional	Actual. Pediatr. Granada.	Actual Pediatr (Granada)
Actualites pharmacologiques	Actual. Pharmacol. Paris.	Actual Pharmacol (Paris)
Acupuncture & electro-therapeutics research	Acupunct. Electrother. Res.	Acupunct Electrother Res
Actualites de physiologie pathologique	Actual. Physiol. Pathol. Paris.	Actual Physiol Pathol (Paris)
Addictive behaviors	Addict. Behav.	Addict Behav
Advance data	Adv. Data	Adv Data
ADM; revista de la Asociacion Dental Mexicana	Adm	ADM
Administration in social work	Adm. Soc. Work	Adm Soc Work
Addictive diseases	Addict. Dis.	Addict Dis
Administrative science quarterly	Adm. Sci. Q.	Adm Sci Q
Adolescence	Adolescence	Adolescence
Adult education	Adult Educ.	Adult Educ
Advances in anatomy, embryology, and cell biology	Adv. Anat. Embryol. Cell Biol.	Adv Anat Embryol Cell Biol
Advances in applied microbiology	Adv. Appl. Microbiol.	Adv Appl Microbiol
Administration in mental health	Adm. Ment. Health	Adm Ment Health
Advances in biochemical psychopharmacology	Adv. Biochem. Psychopharmacol.	Adv Biochem Psychopharmacol
Advances in biological and medical physics	Adv. Biol. Med. Phys.	Adv Biol Med Phys
Lifelong learning, the adult years	Lifelong Learn. Adult Years	Lifelong Learn Adult Years
Advances in biochemical engineering/biotechnology	Adv. Biochem. Eng. Biotechnol.	Adv Biochem Eng Biotechnol
Advances in biology of skin	Adv. Biol. Skin	Adv Biol Skin
Advances in biomedical engineering and medical physics	Adv. Biomed. Eng. Med. Phys.	Adv Biomed Eng Med Phys
Advances in biophysics	Adv. Biophys.	Adv Biophys
Advances in cancer research	Adv. Cancer Res.	Adv Cancer Res
Advances in carbohydrate chemistry and biochemistry	Adv. Carbohydr. Chem. Biochem.	Adv Carbohydr Chem Biochem
Advances in cardiology	Adv. Cardiol.	Adv Cardiol
Advances in cardiopulmonary diseases	Adv. Cardiopulm. Dis.	Adv Cardiopulm Dis
Advances in cell biology	Adv. Cell Biol.	Adv Cell Biol
Advances in chemotherapy	Adv. Chemother.	Adv Chemother
Advances in child development and behavior	Adv. Child Dev. Behav.	Adv Child Dev Behav
Advances in contraception : the official journal of the Society for the Advancement of Contraception	Adv. Contracept.	Adv Contracept
Advances in chromatography	Adv. Chromatogr.	Adv Chromatogr
Advances in clinical chemistry	Adv. Clin. Chem.	Adv Clin Chem
Advances in clinical pharmacology	Adv. Clin. Pharmacol.	Adv Clin Pharmacol
Advances in comparative physiology and biochemistry	Adv. Comp. Physiol. Biochem.	Adv Comp Physiol Biochem
Advances in cyclic nucleotide and protein phosphorylation research	Adv. Cyclic Nucleotide Protein Phosphorylation Res.	Adv Cyclic Nucleotide Protein Phosphorylation Res
Advances in cyclic nucleotide research	Adv. Cyclic Nucleotide Res.	Adv Cyclic Nucleotide Res
Advances in cytopharmacology	Adv. Cytopharmacol.	Adv Cytopharmacol
Advances in drug research	Adv. Drug Res.	Adv Drug Res
Advances in enzyme regulation	Adv. Enzyme Regul.	Adv Enzyme Regul
Advances in enzymology and related areas of molecular biology	Adv. Enzymol. Relat. Areas Mol. Biol.	Adv Enzymol Relat Areas Mol Biol
Advances in experimental medicine and biology	Adv. Exp. Med. Biol.	Adv Exp Med Biol
Advances in fluorine research and dental caries prevention	Adv. Fluorine Res.	Adv Fluorine Res
Advances in health economics and health services research	Adv. Health Econ. Health Serv. Res.	Adv Health Econ Health Serv Res
Aktuelle Traumatologie	Aktuelle Traumatol.	Aktuelle Traumatol
Advances in food research	Adv. Food Res.	Adv Food Res
Advances in immunity and cancer therapy	Adv. Immun. Cancer Ther.	Adv Immun Cancer Ther
Advances in genetics	Adv. Genet.	Adv Genet
Advances in gerontological research	Adv. Gerontol. Res.	Adv Gerontol Res
Advances in nutritional research	Adv. Nutr. Res.	Adv Nutr Res
Advances in heterocyclic chemistry	Adv. Heterocycl. Chem.	Adv Heterocycl Chem
Advances in human genetics	Adv. Hum. Genet.	Adv Hum Genet
Advances in immunology	Adv. Immunol.	Adv Immunol
Advances in inorganic biochemistry	Adv. Inorg. Biochem.	Adv Inorg Biochem
Advances in internal medicine	Adv. Intern. Med.	Adv Intern Med
Advances in lipid research	Adv. Lipid Res.	Adv Lipid Res
Advances in metabolic disorders	Adv. Metab. Disord.	Adv Metab Disord
Advances in microbial physiology	Adv. Microb. Physiol.	Adv Microb Physiol
Advances in nephrology from the Necker Hospital	Adv. Nephrol. Necker Hosp.	Adv Nephrol Necker Hosp
Advances in morphogenesis	Adv. Morphog.	Adv Morphog
Advances in neurology	Adv. Neurol.	Adv Neurol
Shinkei kenkyu no shimpo. Advances in neurological sciences	Shinkei Kenkyu No Shimpo	Shinkei Kenkyu No Shimpo
Advances in alcohol & substance abuse	Adv. Alcohol Subst. Abuse	Adv Alcohol Subst Abuse
Advances in ophthalmology = Fortschritte der Augenheilkunde = Progres en ophtalmologie	Adv. Ophthalmol.	Adv Ophthalmol
Advances in oral biology	Adv. Oral Biol.	Adv Oral Biol
Advances in oto-rhino-laryngology	Adv. Otorhinolaryngol.	Adv Otorhinolaryngol
Advances in prostaglandin and thromboxane research	Adv. Prostaglandin Thromboxane Res.	Adv Prostaglandin Thromboxane Res
Advances in parasitology	Adv. Parasitol.	Adv Parasitol
Advances in pathobiology	Adv. Pathobiol.	Adv Pathobiol
Advances in pediatrics	Adv. Pediatr.	Adv Pediatr
Advances in pest control research	Adv. Pest Control Res.	Adv Pest Control Res
Advances in pharmaceutical sciences	Adv. Pharm. Sci.	Adv Pharm Sci
